кресло_ручки функции
доска регби_мячи
пластелин_стена набор_мака
мышка индеец_стринги
монитор_правый ДжДеп
пк импел_даунич
край_стола перец_чили
фка_андер_угол эвок
батарея нэмо
мониторый_левый арка
стакан_ручек ХэнкПим
кресло_спинка капот
цветок_первый_мой клон_поварёшка
принтер кластер
балкон_дверь_пол проволока
микрофон флаг
наушники демон
дверь_балкон_верх противень
кресло_колёсики лего
под_люстрой ньютон_фантик
кресло_up пеликан
балкон_дверь_низ созонова
стол_левый_карта демон_обдж
стол_левый_край стэтхэм_стринги

